        Kneeland     California 
Daily Data run on 2/11/2023 10:58
                    Day   Day  Solar            Wind                    Air                    Relative                
                    of    of    Rad.    Speed   Dir.    Speed       Temperature                Humidity         Precip.
 Date        Year   Year  Run  Total     Ave.  Vector   Gust    Ave.    Max.    Min.     Ave.    Max.    Min.   Total  
                              kW-hr/m2    m/s    deg.     m/s        Deg. C                      percent          mm  
 01/01/2021  2021     1     1   1.457    3.67     189   13.41     7.9    13.3     5.0      70     100      39   11.43
 01/02/2021  2021     2     2   1.020    5.05     172   13.86     6.2     7.2     5.0      95     100      87    3.30
 01/03/2021  2021     3     3   1.093    7.79     164   20.12     7.8     8.9     6.7      93     100      79    2.29
 01/04/2021  2021     4     4   0.485    6.63     214   27.27     5.3     8.3     2.2      97     100      73   32.26
 01/05/2021  2021     5     5   2.084    6.39     152   16.54     7.6    11.1     2.2      39      99      18    0.00
 01/06/2021  2021     6     6   0.434    6.52     178   21.46     6.4     9.4     3.9      81     100      28   10.41
 01/07/2021  2021     7     7   1.428    4.92     151   18.33     8.0    11.7     3.9      42      94      13    3.56
 01/08/2021  2021     8     8   1.965    2.44     288   18.33     5.4     7.2     3.9      86     100      62   12.95
 01/09/2021  2021     9     9   2.539    2.55     177   11.18     9.1    13.3     5.0      41      82      21    0.00
 01/10/2021  2021    10    10   1.141    1.84     169   10.28     7.1     7.8     5.0      94     100      68   11.68
 01/11/2021  2021    11    11   2.218    4.73     160   16.54     8.6    12.8     5.6      62      90      38    0.51
 01/12/2021  2021    12    12   0.183    8.55     172   20.56     9.6    11.1     7.2      97     100      93   19.05
 01/13/2021  2021    13    13   2.294    2.25     172   14.31    10.8    12.8     8.3      93     100      45   18.80
 01/14/2021  2021    14    14   2.727    1.75     117    4.92    14.3    20.0    10.0      45      76       5    0.00
 01/15/2021  2021    15    15   1.318    1.81      31    5.81    12.1    16.7     8.3      72     100      23    0.00
 01/16/2021  2021    16    16   2.610    1.99      24    7.60    12.8    17.2    10.0      58      82      33    0.00
 01/17/2021  2021    17    17   2.812    2.16      18    6.71    14.1    17.8    11.7      42      62      28    0.00
 01/18/2021  2021    18    18   2.952    2.68      31   15.65    13.2    16.1     8.3      23      38       9    0.00
 01/19/2021  2021    19    19   2.901    2.76      47    8.94     9.2    11.7     6.1      21      29      13    0.00
 01/20/2021  2021    20    20   3.057    1.68     197    6.26    11.3    15.0     9.4      21      41      12    0.00
 01/21/2021  2021    21    21   1.852    2.46     201    7.60     8.2    11.1     0.0      38      98      16    0.25
 01/22/2021  2021    22    22   1.128    2.89      29   10.28     2.5     3.9     1.1      94     100      83    1.52
 01/23/2021  2021    23    23   3.238    1.56       7    4.92     2.8     6.7     0.6      91     100      68    0.25
 01/24/2021  2021    24    24   0.592    2.89     342   16.09     0.4     1.7    -1.7     100     100     100    7.37
 01/25/2021  2021    25    25   1.954    2.12       2    8.94    -1.0     1.1    -2.2      99     100      97    3.56
 01/26/2021  2021    26    26   0.679    9.00     152   32.19    -1.0     0.0    -2.8      97     100      83    0.00
 01/27/2021  2021    27    27   1.342    9.63     161   20.56     1.6     3.3     0.0      97     100      91   30.73
 01/28/2021  2021    28    28   1.040    4.00     165   13.41     2.0     2.8     1.1      96     100      81   10.41
 01/29/2021  2021    29    29   2.288    3.67     174   17.88     3.1     6.1     1.1      81      92      68    0.25
 01/30/2021  2021    30    30   1.852    9.93     156   22.80     5.3     7.2     2.2      82      93      72    1.52
 01/31/2021  2021    31    31   1.011   11.27     152   27.27     7.1     8.3     5.0      90      97      76   17.02
 02/01/2021  2021    32    32   0.673    9.44     174   24.59     6.9     8.3     5.0      79     100      49   22.61
 02/02/2021  2021    33    33   2.028    2.76     233   11.62     3.4     6.1     1.1      96     100      77   14.99
 02/03/2021  2021    34    34   2.254    3.39     332   14.75     2.3     4.4     1.1      96     100      84   19.81
 02/04/2021  2021    35    35   3.525    1.62       7    5.81     6.8    12.2     1.7      55      77      33    0.00
 02/05/2021  2021    36    36   3.681    2.14      19    8.49     7.4    10.0     5.0      72     100      53    0.00
 02/06/2021  2021    37    37   3.744    1.92      12    6.26     7.5    12.8     3.3      63      93      20    0.00
 02/07/2021  2021    38    38   3.788    1.97       1    5.36     7.7    11.1     5.0      53      80      18    0.00
 02/08/2021  2021    39    39   2.563    1.34     342    3.58     9.0    14.4     5.0      27      73       5    0.00
 02/09/2021  2021    40    40   2.936    1.17      23    4.47     7.8    11.1     5.0      44     100      20    0.00
 02/10/2021  2021    41    41   3.736    1.38     278    4.47     8.9    13.3     5.6      59      84      37    0.00
 02/11/2021  2021    42    42   0.419    4.66     204   18.33     6.5     8.9     3.3      92     100      73   29.97
 02/12/2021  2021    43    43   1.515    2.81     226   11.62     5.1     6.1     3.3     100     100      97   21.59
 02/13/2021  2021    44    44   2.041    3.93     314   17.88     3.7     5.6     2.2      99     100      94   19.30
 02/14/2021  2021    45    45   0.520    3.95     182   10.73     4.0     7.2     1.7      98     100      93   34.54
 02/15/2021  2021    46    46   1.617    3.89     283    9.84     5.4     7.2     2.8     100     100     100   35.56
 02/16/2021  2021    47    47   3.368    2.16       8    7.60     3.3     6.1     1.1      97     100      86    2.03
 02/17/2021  2021    48    48   3.899    1.56      36    6.71     5.1    11.1     0.6      70     100      10    0.00
 02/18/2021  2021    49    49   0.699    6.20     181   23.69     6.7    10.0     3.9      64     100      13   34.29
 02/19/2021  2021    50    50   1.788    4.08     230   19.22     4.2     6.1     0.6      99     100      89   17.02
 02/20/2021  2021    51    51   3.207    3.54     343   19.22     2.3     5.0     0.6      99     100      92   17.27
 02/21/2021  2021    52    52   3.898    1.70      26    9.84     4.9     9.4     0.6      80     100      54    0.00
 02/22/2021  2021    53    53   4.562    2.20      23    8.49     7.5    12.2     4.4      80     100      57    0.00
 02/23/2021  2021    54    54   4.727    1.64       0    7.60     5.7     9.4     2.8      84     100      57    0.00
 02/24/2021  2021    55    55   4.782    1.84       7    5.81     5.1     8.9     1.1      65      82      27    0.00
 02/25/2021  2021    56    56   4.458    2.68       4    9.39     5.2     9.4     1.1      70     100      25    0.00
 02/26/2021  2021    57    57   2.067    3.17      10   12.52     1.6     3.9     0.0      93     100      79    2.54
 02/27/2021  2021    58    58   4.703    3.43       6   12.07     2.8     5.6     0.0      82      95      65    0.00
 02/28/2021  2021    59    59   4.952    2.16      15    8.94     7.9    12.8     2.2      58      73      28    0.00
 03/01/2021  2021    60    60   4.513    4.54     154   14.75     9.1    14.4     4.4      53     100      28    0.00
 03/02/2021  2021    61    61   4.969    2.50      54   10.73    10.9    15.0     8.3      26      32      21    0.00
 03/03/2021  2021    62    62   5.149    1.96     183   11.18     9.5    13.9     5.6      44      81      21    0.00
 03/04/2021  2021    63    63   4.672    8.53     163   24.59     7.3    13.3     2.8      54      79      31    0.00
 03/05/2021  2021    64    64   1.306    6.97     162   24.59     4.7     8.3     0.0      85     100      52   16.26
 03/06/2021  2021    65    65   4.596    1.79     227    9.39     3.2     8.9     0.0      82     100      50   18.80
 03/07/2021  2021    66    66   4.718    2.09     358   11.18     3.1     6.7     0.0      86     100      68    2.03
 03/08/2021  2021    67    67   1.795    4.92     178   14.75     1.6     3.3     0.6      95     100      79    4.06
 03/09/2021  2021    68    68   2.085    7.00     158   14.75     0.8     2.2     0.0      96     100      90   15.49
 03/10/2021  2021    69    69   3.319    2.89      77   13.86     2.3     8.9     0.6      82      99      47    3.81
 03/11/2021  2021    70    70   5.569    1.45      11    5.81     4.2     8.9     0.6      78      98      59    0.51
 03/12/2021  2021    71    71   5.605    1.70      15    4.92     8.4    12.2     5.0      55      81      29    0.00
 03/13/2021  2021    72    72   5.177    2.01     184    7.60     5.7    11.1     1.7      77     100      40    0.00
 03/14/2021  2021    73    73   1.126    5.96     193   25.48     1.9     6.1    -1.1      94     100      83   11.43
 03/15/2021  2021    74    74   3.548    3.41     346   15.20    -0.2     2.8    -2.8      88     100      71    6.10
 03/16/2021  2021    75    75   5.862    1.77     328    6.71     1.4     6.7    -1.7      68      95      45    0.00
 03/17/2021  2021    76    76   5.290    4.56     164   23.69     6.1    10.6     0.0      68      88      50    0.00
 03/18/2021  2021    77    77   2.267    7.25     178   25.93     5.2     7.8     3.3      94     100      71    8.38
 03/19/2021  2021    78    78   2.749    3.67     210   11.62     3.2     6.7     1.7      94     100      76   12.70
 03/20/2021  2021    79    79   3.867    1.81     321    7.60     2.5     6.1     0.0      94     100      69    3.56
 03/21/2021  2021    80    80   5.001    2.05     356    7.15     2.4     6.1     0.6      93     100      73    0.25
 03/22/2021  2021    81    81   2.501    2.61     356   12.52     3.0     6.1     1.1      99     100      92    3.30
 03/23/2021  2021    82    82   6.338    2.37      14    7.60     5.2     9.4     0.0      72     100      42    0.25
 03/24/2021  2021    83    83   5.282    1.96     354    8.05     6.4    10.0     3.3      68     100      30    1.27
 03/25/2021  2021    84    84   4.617    3.06     354   10.28     2.7     5.0     1.1      95     100      80    2.03
 03/26/2021  2021    85    85   6.503    1.77      29    5.81     8.4    12.8     2.8      60      74      37    0.00
 03/27/2021  2021    86    86   6.633    1.43     227    4.47    15.5    20.6    11.1      37      69      24    0.00
 03/28/2021  2021    87    87   6.554    1.53      22    7.60    10.5    17.2     2.8      62     100      27    0.00
 03/29/2021  2021    88    88   6.527    2.65     354    9.84     4.8     8.9     1.1      74     100      45    0.00
 03/30/2021  2021    89    89   6.809    2.14       4    7.15    11.4    17.2     3.9      35      51      14    0.00
 03/31/2021  2021    90    90   6.947    2.31     142    9.84    17.1    22.2    13.3      17      26      11    0.00
 04/01/2021  2021    91    91   6.845    3.67     170   10.73    15.7    20.0    12.8      29      52      17    0.00
 04/02/2021  2021    92    92   6.396    2.40     164    6.71    13.3    17.8     9.4      36      66      17    0.00
 04/03/2021  2021    93    93   3.898    1.36     359    4.47     5.8    11.1     3.3      88     100      48    0.00
 04/04/2021  2021    94    94   1.676    1.32      33    5.81     4.3     6.1     3.3     100     100      91    0.76
 04/05/2021  2021    95    95   6.850    1.49       2    4.92     7.9    13.9     2.8      71     100      29    0.00
 04/06/2021  2021    96    96   7.087    1.84     192    5.81    10.9    16.1     3.3      54     100      20    0.00
 04/07/2021  2021    97    97   2.796    1.45      30    4.47     3.5     6.1     2.2      99     100      95    0.25
 04/08/2021  2021    98    98   7.100    2.29       4    8.94     4.1     8.9     0.6      87     100      66    0.00
 04/09/2021  2021    99    99   3.950    1.71     347    6.26     2.9     9.4     0.6      98     100      78    0.25
 04/10/2021  2021   100   100   6.695    2.72       4    9.39     3.9     8.3     0.0      84     100      66    0.00
 04/11/2021  2021   101   101   7.409    1.94      10    5.81     9.1    15.0     2.8      62      82      27    0.00
 04/12/2021  2021   102   102   7.518    1.43     322    5.81    14.1    19.4     7.8      37      61      19    0.00
 04/13/2021  2021   103   103   7.538    2.48     358   10.73     9.2    13.3     4.4      49      67      29    0.00
 04/14/2021  2021   104   104   7.524    2.23       8    8.49    11.0    15.0     8.3      30      40      18    0.00
 04/15/2021  2021   105   105   7.567    1.56      63    6.26    12.8    17.2     9.4      32      51      23    0.00
 04/16/2021  2021   106   106   7.540    1.79      18    5.81    14.8    18.3    10.6      35      51      23    0.00
 04/17/2021  2021   107   107   7.705    1.90      31    7.15    17.1    22.2    12.2      29      40      20    0.00
 04/18/2021  2021   108   108   7.671    1.62       2    6.71    17.6    21.7    11.1      31      48      21    0.00
 04/19/2021  2021   109   109   7.657    2.31      17   10.73    10.1    14.4     3.9      64     100      43    0.25
