"GEOID","NAME","LSAD","LAND_AREA_M2","WATER_AREA_M2"
"0677364","Susanville","25",20507839,218688
"0602000","Anaheim","25",130206498,1567025
"0616532","Costa Mesa","25",40937896,24554
"0617750","Cypress","25",17128118,22347
"0628000","Fullerton","25",58065841,32825
"0629000","Garden Grove","25",46520862,31066
"0639248","Laguna Niguel","25",38165702,133550
"0653980","Orange","25",66478667,386916
"0657526","Placentia","25",17124978,37381
"0668028","San Juan Capistrano","25",37374655,0
"0669000","Santa Ana","25",70905149,79932
"0684550","Westminster","25",25999277,0
"0686832","Yorba Linda","25",51679911,52602
"0685586","Williams","25",12806225,0
"0614946","Colusa","25",8868061,0
"0622790","Escalon","25",5899272,174504
"0661026","Ripon","25",13790583,499649
"0675000","Stockton","25",161592699,7956195
"0602364","Apple Valley","43",199444691,182413
"0665000","San Bernardino","25",160943574,853495
"0633434","Hesperia","25",188241904,251762
"0670042","Santa Paula","25",14323012,423953
"0659920","Redding","25",154482290,3954285
"0671225","Shasta Lake","25",28290264,14724
"0682590","Victorville","25",190908178,744967
"0613214","Chino Hills","25",115642342,123913
"0633588","Highland","25",48099958,244008
"0613210","Chino","25",76677037,249662
"0603526","Bakersfield","25",388008665,3792006
"0607218","Blythe","25",68849468,2027110
"0636448","Indio","25",86018608,20661
"0656700","Perris","25",81672650,279334
"0602924","Arvin","25",12482061,0
"0660704","Ridgecrest","25",54029088,1671951
"0678092","Tehachapi","25",26563140,250130
"0608142","Brentwood","25",38501266,0
"0660102","Redwood City","25",50080819,39901458
"0668364","San Rafael","25",42960192,15426850
"0611250","Carmel-by-the-Sea","25",2748715,0
"0618688","Del Rey Oaks","25",2730932,5204
"0636084","Huron","25",4144982,0
"0630392","Gonzales","25",4955568,98218
"0630994","Greenfield","25",7548415,98210
"0659892","Red Bluff","25",19582197,295207
"0618100","Davis","25",25826324,90331
"0684816","West Sacramento","25",55606617,3446736
"0686034","Winters","25",7601165,64542
"0686328","Woodland","25",39665023,0
"0623182","Fairfield","25",107719392,738306
"0681554","Vacaville","25",77363273,600053
"0619584","Dorris","25",1819374,40653
"0649852","Mount Shasta","25",9754373,9660
"0681134","Ukiah","25",12390978,116878
"0639710","Lakeport","25",7920508,363747
"0616378","Coronado","25",20215844,63957492
"0622804","Escondido","25",96723121,276445
"0636294","Imperial Beach","25",11112520,304504
"0618394","Delano","25",38114812,135325
"0644826","McFarland","25",7804499,0
"0645736","Maricopa","25",4054515,0
"0645778","Marina","25",23070824,2333714
"0665112","Sand City","25",1416996,6121647
"0670742","Seaside","25",23111409,355497
"0672520","Soledad","25",11551909,492321
"0614498","Colfax","25",3641506,0
"0602042","Anderson","25",18210820,466513
"0686944","Yreka","25",25861889,188154
"0645358","Mammoth Lakes","43",64402450,1139030
"0653000","Oakland","25",144861285,57244212
"0611530","Carson","25",48512253,612009
"0641124","Lemon Grove","25",10045731,0
"0613392","Chula Vista","25",128560729,6360807
"0666000","San Diego","25",844031898,120532678
"0671106","Shafter","25",100221604,0
"0683542","Wasco","25",24313382,0
"0670364","Sausalito","25",4568773,1276883
"0654232","Orinda","25",33285592,40530
"0657288","Pinole","25",13218372,17242736
"0660620","Richmond","25",77840004,58164107
"0668294","San Pablo","25",6797163,0
"0639122","Lafayette","25",38912815,431202
"0642370","Loma Linda","25",22528575,2371
"0648788","Montclair","25",14325101,0
"0650734","Needles","25",79196616,1289442
"0607946","Bradbury","25",5084447,3236
"0653896","Ontario","25",129425158,75071
"0633056","Healdsburg","25",11448706,0
"0685922","Windsor","43",19260063,60261
"0625058","Fort Bragg","25",7508182,86606
"0638226","Kerman","25",8697691,0
"0606798","Bishop","25",4827233,122068
"0621712","El Cajon","25",37579662,0
"0622678","Encinitas","25",49353552,2854559
"0640004","La Mesa","25",23546769,12381
"0653322","Oceanside","25",106889690,2296235
"0658520","Poway","25",101210495,223435
"0668196","San Marcos","25",63622220,52493
"0600562","Alameda","25",27061952,32453610
"0600674","Albany","25",4636032,9521771
"0606000","Berkeley","25",27018309,18712737
"0620018","Dublin","25",39442774,0
"0622594","Emeryville","25",3297580,2499006
"0682996","Vista","25",48556164,0
"0650916","Newark","25",36051024,60526
"0668084","San Leandro","25",34505967,5588957
"0681204","Union City","25",50240704,0
"0626000","Fremont","25",202274678,26274304
"0650258","Napa","25",46740284,792174
"0664140","St. Helena","25",12832970,325922
"0638520","King City","25",9833874,342510
"0686300","Woodlake","25",6989988,1178472
"0666140","San Fernando","25",6149607,0
"0614190","Cloverdale","25",8120471,0
"0616560","Cotati","25",4854614,8380
"0665042","San Buenaventura (Ventura)","25",56681176,26953060
"0630014","Glendora","25",50531742,400123
"0632548","Hawthorne","25",15766235,28948
"0636546","Inglewood","25",23484484,63501
"0639003","La Cañada Flintridge","25",22349007,42498
"0640032","La Mirada","25",20257551,44465
"0655156","Palmdale","25",274705334,629569
"0655380","Palos Verdes Estates","25",12369151,33350007
"0662602","Rolling Hills","25",7746141,0
"0669088","Santa Clarita","25",183250290,160454
"0669154","Santa Fe Springs","25",22948086,101085
"0682422","Vernon","25",12884476,476377
"0683332","Walnut","25",23281857,9650
"0671806","Sierra Madre","25",7643251,10258
"0673220","South Pasadena","25",8828904,25721
"0609598","Calabasas","25",35502601,90645
